rep,loss_s,outcome,hold_ms,unlock_ms,recovery_ms,min_marginB,n
1,0.005,NO-IMPACT,0.0,0.0,0.0,7,443
1,0.025,NO-IMPACT,0.0,0.0,0.0,7,442
1,0.078,NO-IMPACT,0.0,0.0,0.0,5,442
1,0.155,RODE-THROUGH,,,20.0,3,444
1,0.5,RECOVERED,325.0,150.0,-25.0,0,443
1,1.0,RECOVERED,325.0,600.0,-75.0,0,482
1,2.0,RECOVERED,325.0,1675.0,0.0,0,603
1,4.0,RECOVERED,325.0,3525.0,-150.0,0,684
1,8.0,RECOVERED,300.0,7700.0,0.0,0,842
2,0.005,NO-IMPACT,0.0,0.0,0.0,7,444
2,0.025,NO-IMPACT,0.0,0.0,0.0,6,443
2,0.078,RODE-THROUGH,,,72.0,3,442
2,0.155,RODE-THROUGH,,,-5.0,3,442
2,0.5,RECOVERED,300.0,150.0,-50.0,0,443
2,1.0,RECOVERED,325.0,600.0,-75.0,0,483
2,2.0,RECOVERED,325.0,1850.0,175.0,0,602
2,4.0,RECOVERED,325.0,3550.0,-125.0,0,683
2,8.0,RECOVERED,300.0,7700.0,0.0,0,843
3,0.005,NO-IMPACT,0.0,0.0,0.0,7,442
3,0.025,NO-IMPACT,0.0,0.0,0.0,7,442
3,0.078,RODE-THROUGH,,,72.0,3,443
3,0.155,RODE-THROUGH,,,145.0,4,443
3,0.5,RECOVERED,300.0,300.0,100.0,0,441
3,1.0,RECOVERED,300.0,625.0,-75.0,0,483
3,2.0,RECOVERED,300.0,1400.0,-300.0,0,603
3,4.0,RECOVERED,300.0,3700.0,0.0,0,683
3,8.0,RECOVERED,300.0,7400.0,-300.0,0,842
