rep,loss_s,outcome,hold_ms,unlock_ms,recovery_ms,min_marginB,n
1,0.005,NO-IMPACT,0.0,0.0,0.0,7,442
1,0.025,NO-IMPACT,0.0,0.0,0.0,6,442
1,0.078,NO-IMPACT,0.0,0.0,0.0,6,443
1,0.155,RODE-THROUGH,,,-5.0,2,444
1,0.5,RECOVERED,300.0,300.0,100.0,0,442
1,1.0,RECOVERED,300.0,775.0,75.0,0,482
1,2.0,RECOVERED,300.0,1700.0,0.0,0,602
1,4.0,RECOVERED,300.0,3700.0,0.0,0,683
1,8.0,RECOVERED,325.0,7850.0,175.0,0,843
2,0.005,NO-IMPACT,0.0,0.0,0.0,7,443
2,0.025,NO-IMPACT,0.0,0.0,0.0,7,443
2,0.078,RODE-THROUGH,,,72.0,4,442
2,0.155,RODE-THROUGH,,,-5.0,3,443
2,0.5,RECOVERED,300.0,150.0,-50.0,0,443
2,1.0,RECOVERED,325.0,775.0,100.0,0,483
2,2.0,RECOVERED,325.0,1675.0,0.0,0,604
2,4.0,RECOVERED,325.0,3850.0,175.0,0,683
2,8.0,RECOVERED,300.0,7875.0,175.0,0,842
3,0.005,NO-IMPACT,0.0,0.0,0.0,8,442
3,0.025,NO-IMPACT,0.0,0.0,0.0,7,444
3,0.078,RODE-THROUGH,,,72.0,4,443
3,0.155,RODE-THROUGH,,,-5.0,3,442
3,0.5,RECOVERED,325.0,150.0,-25.0,0,443
3,1.0,RECOVERED,300.0,775.0,75.0,0,483
3,2.0,RECOVERED,300.0,1700.0,0.0,0,602
3,4.0,RECOVERED,300.0,3875.0,175.0,0,683
3,8.0,RECOVERED,325.0,7700.0,25.0,0,843
