rep,loss_s,outcome,hold_ms,unlock_ms,recovery_ms,min_marginB,n
1,0.005,NO-IMPACT,0.0,0.0,0.0,7,443
1,0.025,RODE-THROUGH,,,125.0,4,443
1,0.078,RODE-THROUGH,,,72.0,4,442
1,0.155,RODE-THROUGH,,,-5.0,2,443
1,0.5,RECOVERED,300.0,300.0,100.0,0,442
1,1.0,RECOVERED,300.0,775.0,75.0,0,483
1,2.0,RECOVERED,300.0,1850.0,150.0,0,603
1,4.0,RECOVERED,300.0,4025.0,325.0,0,682
1,8.0,RECOVERED,325.0,8000.0,325.0,0,842
2,0.005,NO-IMPACT,0.0,0.0,0.0,7,443
2,0.025,NO-IMPACT,0.0,0.0,0.0,5,443
2,0.078,RODE-THROUGH,,,72.0,4,443
2,0.155,RODE-THROUGH,,,145.0,2,443
2,0.5,RECOVERED,300.0,150.0,-50.0,0,442
2,1.0,RECOVERED,300.0,775.0,75.0,1,483
2,2.0,RECOVERED,325.0,2150.0,475.0,0,603
2,4.0,RECOVERED,300.0,3850.0,150.0,0,683
2,8.0,RECOVERED,300.0,8175.0,475.0,0,843
3,0.005,NO-IMPACT,0.0,0.0,0.0,7,442
3,0.025,NO-IMPACT,0.0,0.0,0.0,7,443
3,0.078,RODE-THROUGH,,,72.0,2,443
3,0.155,RODE-THROUGH,,,-5.0,2,442
3,0.5,RECOVERED,325.0,300.0,125.0,0,442
3,1.0,RECOVERED,325.0,750.0,75.0,0,484
3,2.0,RECOVERED,325.0,1850.0,175.0,0,603
3,4.0,RECOVERED,300.0,3850.0,150.0,0,682
3,8.0,RECOVERED,300.0,7875.0,175.0,0,844
