chips,dur_ms,excess_chips,excess_ms,min_marginA,rep,rode,unlock_fr,unlock_ms
16,80.0,,,4,0,True,,
16,80.0,,,4,1,True,,
16,80.0,,,2,2,True,,
31,155.0,,,3,0,True,,
31,155.0,,,3,1,True,,
31,155.0,,,3,2,True,,
62,310.0,,,1,0,True,,
62,310.0,,,3,1,True,,
62,310.0,,,2,2,True,,
124,620.0,-59.0,-295.0,1,0,False,13,325.0
124,620.0,-64.0,-320.0,1,1,False,12,300.0
124,620.0,-64.0,-320.0,1,2,False,12,300.0
196,980.0,-41.0,-205.0,0,0,False,31,775.0
196,980.0,-71.0,-355.0,1,1,False,25,625.0
196,980.0,-71.0,-355.0,2,2,False,25,625.0
400,2000.0,-30.0,-150.0,0,0,False,74,1850.0
400,2000.0,-65.0,-325.0,0,1,False,67,1675.0
400,2000.0,-60.0,-300.0,0,2,False,68,1700.0
