t_ms,msp,motor,servo0,servo1,gyro_p,gyro_q,gyro_r,acc_x,acc_y,acc_z,qw,qx,qy,qz,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,tgtpos_n,tgtpos_e,tgtpos_d,rcData0,rcData1,rcData2,rcData3
167288.3510,3.0000,1693.0000,1500.0000,1500.0000,-25.0000,10.0000,47.0000,176.0000,-157.0000,291.0000,0.1845,-0.2222,-0.2006,0.9361,165.9400,-73.0500,-112.2400,-22.0800,-3.5500,4.6200,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
167305.3980,3.0000,1693.0000,1500.0000,1500.0000,-32.0000,13.0000,50.0000,253.0000,1.0000,491.0000,0.1769,-0.2259,-0.2026,0.9363,165.4900,-73.1100,-112.1900,-22.1300,-3.4900,4.7500,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
167322.0490,3.0000,1691.0000,1500.0000,1500.0000,-41.0000,12.0000,46.0000,258.0000,206.0000,609.0000,0.1691,-0.2300,-0.2060,0.9360,165.4900,-73.1100,-112.1900,-22.1300,-3.4900,4.7500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1708.0000
167338.6530,3.0000,1691.0000,1500.0000,1500.0000,-44.0000,12.0000,42.0000,214.0000,113.0000,677.0000,0.1618,-0.2338,-0.2101,0.9354,165.0200,-73.1600,-112.1300,-22.2100,-3.4200,4.8900,0.0000,0.0000,-0.0000,1498.0000,1498.0000,1500.0000,1708.0000
167355.2020,3.0000,1693.0000,1500.0000,1500.0000,-52.0000,13.0000,34.0000,189.0000,189.0000,765.0000,0.1553,-0.2378,-0.2154,0.9343,164.5500,-73.2200,-112.0700,-22.2900,-3.3400,5.0200,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
167371.7330,3.0000,1693.0000,1500.0000,1500.0000,-54.0000,14.0000,28.0000,134.0000,144.0000,963.0000,0.1496,-0.2417,-0.2214,0.9329,164.1000,-73.2700,-112.0100,-22.3500,-3.2600,5.1500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
167388.3900,3.0000,1693.0000,1500.0000,1500.0000,-60.0000,13.0000,20.0000,165.0000,122.0000,1152.0000,0.1446,-0.2455,-0.2282,0.9310,163.6500,-73.3200,-111.9400,-22.4100,-3.1700,5.2600,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
167405.1160,3.0000,1693.0000,1500.0000,1500.0000,-58.0000,17.0000,14.0000,180.0000,-87.0000,1372.0000,0.1407,-0.2493,-0.2353,0.9288,163.6500,-73.3200,-111.9400,-22.4100,-3.1700,5.2600,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
167421.8540,3.0000,1693.0000,1500.0000,1500.0000,-50.0000,18.0000,5.0000,232.0000,50.0000,1416.0000,0.1379,-0.2530,-0.2418,0.9266,163.2000,-73.3600,-111.8700,-22.5000,-3.1000,5.3400,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
167438.3440,3.0000,1693.0000,1500.0000,1500.0000,-44.0000,19.0000,-2.0000,134.0000,-33.0000,1441.0000,0.1364,-0.2562,-0.2478,0.9243,162.7200,-73.4100,-111.8000,-22.6100,-3.0300,5.4100,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
