time (us),GPS_fixType,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed (m/s),GPS_ground_course,GPS_hdop,GPS_eph,GPS_epv,GPS_velned[0],GPS_velned[1],GPS_velned[2],GPS_home_lat,GPS_home_lon
187098233,2,8,37.4116277,-121.9941694,5,0.12,14.4,220,148,282,10,-6,2,37.4116284,-121.9941696
187105977,2,8,37.4116277,-121.9941694,5,0.12,14.4,220,148,282,10,-6,2,37.4116284,-121.9941696
187121290,2,8,37.4116277,-121.9941693,5,0.03,14.4,220,148,282,0,3,-2,37.4116284,-121.9941696
187221782,2,8,37.4116276,-121.9941693,5,0.08,14.4,220,148,282,6,-4,0,37.4116284,-121.9941696
187322315,2,8,37.4116275,-121.9941695,5,0.22,14.4,220,149,282,-7,-21,-5,37.4116284,-121.9941696
187422489,2,8,37.4116273,-121.9941697,5,0.23,14.4,220,149,282,-19,-14,-3,37.4116284,-121.9941696
187522994,2,8,37.4116271,-121.9941699,5,0.19,14.4,220,149,282,-11,-15,-2,37.4116284,-121.9941696
187623992,2,8,37.4116269,-121.9941700,5,0.06,14.4,220,149,282,2,6,-1,37.4116284,-121.9941696
187725120,2,8,37.4116270,-121.9941700,5,0.18,14.4,220,149,282,17,5,-3,37.4116284,-121.9941696
187925893,2,8,37.4116269,-121.9941700,5,0.10,14.4,220,150,283,6,8,-7,37.4116284,-121.9941696
188027184,2,8,37.4116268,-121.9941701,5,0.07,14.4,220,150,283,0,7,-8,37.4116284,-121.9941696
188128335,2,8,37.4116266,-121.9941701,5,0.02,14.4,220,150,283,-1,1,-14,37.4116284,-121.9941696
188228963,2,8,37.4116265,-121.9941702,5,0.03,14.4,220,150,283,-1,3,-16,37.4116284,-121.9941696
188330062,2,8,37.4116264,-121.9941703,5,0.08,14.4,220,150,283,-7,3,-23,37.4116284,-121.9941696
188410443,2,8,37.4116262,-121.9941704,5,0.11,14.4,220,151,282,-8,-7,-23,37.4116284,-121.9941696
188510858,2,8,37.4116259,-121.9941706,5,0.23,14.4,220,151,282,-23,-3,-32,37.4116284,-121.9941696
188611596,2,8,37.4116256,-121.9941706,5,0.14,14.4,220,151,283,-14,0,-18,37.4116284,-121.9941696
188712075,2,8,37.4116253,-121.9941708,5,0.23,14.4,220,151,283,-23,0,-22,37.4116284,-121.9941696
188812285,2,8,37.4116251,-121.9941709,5,0.14,14.4,220,151,283,-13,-6,-21,37.4116284,-121.9941696
188912595,2,8,37.4116252,-121.9941712,5,0.43,14.4,220,151,283,5,-43,-11,37.4116284,-121.9941696
189013608,2,8,37.4116251,-121.9941715,5,0.08,14.4,220,152,283,-3,-7,-4,37.4116284,-121.9941696
189215214,2,8,37.4116251,-121.9941716,5,0.11,14.4,220,152,284,11,2,-14,37.4116284,-121.9941696
189238945,2,8,37.4116251,-121.9941716,5,0.11,14.4,220,152,284,11,2,-14,37.4116284,-121.9941696
189315983,2,8,37.4116251,-121.9941717,5,0.16,14.4,220,152,284,8,-14,-2,37.4116284,-121.9941696
189416770,2,8,37.4116252,-121.9941720,5,0.26,14.4,220,152,285,16,-21,15,37.4116284,-121.9941696
189517509,2,8,37.4116252,-121.9941723,5,0.23,14.4,220,152,285,3,-23,48,37.4116284,-121.9941696
189617946,2,8,37.4116252,-121.9941726,5,0.19,14.4,220,152,285,18,-5,69,37.4116284,-121.9941696
189718578,2,8,37.4116252,-121.9941728,5,0.13,14.4,220,152,285,9,-9,108,37.4116284,-121.9941696
189819519,2,8,37.4116251,-121.9941730,5,0.10,14.4,220,152,285,9,-4,139,37.4116284,-121.9941696
189920258,2,8,37.4116250,-121.9941732,5,0.15,14.4,220,152,286,14,5,169,37.4116284,-121.9941696
190021214,2,8,37.4116250,-121.9941734,5,0.28,14.4,220,152,286,28,1,216,37.4116284,-121.9941696
190121754,2,8,37.4116250,-121.9941736,5,0.29,14.4,220,152,286,28,7,237,37.4116284,-121.9941696
190222792,2,8,37.4116249,-121.9941737,5,0.32,14.4,220,152,286,20,25,257,37.4116284,-121.9941696
190322930,2,8,37.4116249,-121.9941738,5,0.35,14.4,220,152,286,27,22,280,37.4116284,-121.9941696
190424017,2,8,37.4116248,-121.9941740,5,0.34,14.4,220,152,286,26,21,275,37.4116284,-121.9941696
190524380,2,8,37.4116248,-121.9941742,5,0.33,14.4,220,152,286,28,16,259,37.4116284,-121.9941696
