loopIteration,time (us),axisRate[0],axisRate[1],axisRate[2],axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],vbat (V),BaroAlt (cm),rssi,gyroADC[0],gyroADC[1],gyroADC[2],accSmooth[0],accSmooth[1],accSmooth[2],accVib,servo[0],servo[1],navState,navFlags,activeWpNumber,flightModeFlags (flags),activeFlightModeFlags,stateFlags (flags),failsafePhase (flags),rxSignalReceived,rxFlightChannelsValid,rxUpdateRate,hwHealthStatus,powerSupplyImpedance,sagCompensatedVBat,wind[0],wind[1],wind[2],mspOverrideFlags,IMUTemperature,baroTemperature,sens0Temp,sens1Temp,sens2Temp,sens3Temp,sens4Temp,sens5Temp,sens6Temp,sens7Temp,escRPM,escTemperature
0,68000522,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,1,132,-174,2064,70,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,148,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
4,68002602,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,1,132,-175,2064,69,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,148,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
8,68004705,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,1,132,-176,2064,68,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,148,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
12,68006855,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,1,132,-176,2064,67,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,143,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
16,68008900,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,1,133,-177,2064,66,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,143,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
20,68010964,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,1,133,-177,2064,66,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,143,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
24,68013061,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,1,133,-176,2064,65,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,143,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
28,68015108,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,2,133,-175,2065,64,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,143,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
32,68017188,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,2,133,-175,2065,63,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,115,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
36,68019253,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,2,132,-173,2066,63,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,115,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
