gen,eff_rank,variation_scale,TARGET_X_TM5,TARGET_X_TM4,TARGET_X_TM3,TARGET_X_TM2,TARGET_X_TM1,TARGET_X_NOW,TARGET_Y_TM5,TARGET_Y_TM4,TARGET_Y_TM3,TARGET_Y_TM2,TARGET_Y_TM1,TARGET_Y_NOW,TARGET_Z_TM5,TARGET_Z_TM4,TARGET_Z_TM3,TARGET_Z_TM2,TARGET_Z_TM1,TARGET_Z_NOW,DIST_TM5,DIST_TM4,DIST_TM3,DIST_TM2,DIST_TM1,DIST_NOW,CLOSING_RATE,QUAT_W,QUAT_X,QUAT_Y,QUAT_Z,AIRSPEED,GYRO_P,GYRO_Q,GYRO_R,DIST_TO_BOUNDARY,INWARD_BODY_X,INWARD_BODY_Y,INWARD_BODY_Z,IN_ENVELOPE,ENVELOPE_SECS,ACCEL_X,ACCEL_Y,ACCEL_Z
1,11.7298,0.0000,0.91841,1.07415,0.97775,1.06956,0.90327,0.97237,0.93455,1.13006,0.94686,1.03139,0.94668,1.13516,0.93655,0.83808,1.11867,0.95368,1.01630,1.04793,1.19711,0.91592,0.71200,1.09391,1.05138,1.08103,0.85099,1.08949,1.06501,0.95246,1.27426,0.88840,0.97860,0.91618,0.94169,1.02440,0.80229,1.18664,0.90320,1.06431,0.84230,1.24201,0.92794,1.04707
41,11.0582,0.0526,1.01251,1.17440,0.98163,0.78469,1.00417,0.79728,0.93354,1.15189,0.83388,1.11150,0.95677,1.24333,0.81378,0.95813,0.71188,1.16448,1.11587,1.10771,0.93838,1.00518,1.05413,0.84139,1.04908,0.90943,1.23456,0.97642,1.12803,1.20060,1.29794,0.99704,0.96494,1.14910,1.05135,0.84581,1.11171,0.75178,1.05784,0.75893,1.15242,0.90196,0.87569,0.88889
81,11.3399,0.1053,1.06316,1.23402,0.96663,0.66708,0.82704,0.85701,0.98423,1.10144,0.91512,0.99481,0.80599,1.03146,0.79129,0.94758,0.88469,1.12671,0.90694,1.13175,0.86807,1.15069,1.16368,0.73889,1.10103,1.09163,0.96985,1.00613,1.05565,1.10818,1.08688,1.25686,1.20907,1.13081,0.95889,1.12250,1.18340,0.91477,0.88359,0.73196,1.10074,1.00368,0.99827,0.92783
121,11.5679,0.1579,0.90659,1.20788,0.98599,0.77232,0.83601,0.86227,1.10794,0.98238,0.74502,0.90033,0.90830,1.24961,1.00916,1.19223,0.86493,1.23104,0.95629,1.01058,0.73760,0.99013,1.15875,0.99578,1.09632,0.86527,0.97572,0.89430,0.91898,1.16169,1.09907,1.20483,1.27291,1.07411,0.81358,1.06770,1.00088,0.89471,0.92051,0.91417,1.14919,0.94464,1.12521,0.99507
161,11.5218,0.2105,0.93582,1.20629,1.00513,0.81133,0.97612,0.84585,1.03672,0.95721,0.83126,0.89750,0.96867,1.13355,0.93340,1.11576,0.92885,1.23891,0.81191,1.13865,0.70096,0.96472,1.17026,0.89640,1.17438,0.87918,1.03178,0.93352,0.96329,1.09897,1.03085,1.07077,1.26811,1.02416,0.94767,1.10976,1.02254,0.88243,0.97193,0.90296,1.06706,1.06386,1.11200,0.93952
201,11.5218,0.2632,0.93582,1.20629,1.00513,0.81133,0.97612,0.84585,1.03672,0.95721,0.83126,0.89750,0.96867,1.13355,0.93340,1.11576,0.92885,1.23891,0.81191,1.13865,0.70096,0.96472,1.17026,0.89640,1.17438,0.87918,1.03178,0.93352,0.96329,1.09897,1.03085,1.07077,1.26811,1.02416,0.94767,1.10976,1.02254,0.88243,0.97193,0.90296,1.06706,1.06386,1.11200,0.93952
241,11.5555,0.3158,0.92168,1.22060,1.00633,0.86412,0.99564,0.86278,1.07015,0.97754,0.76545,0.94660,0.98105,1.13014,0.87096,1.09755,0.97339,1.23029,0.78167,1.17043,0.67948,0.92110,1.19311,0.84629,1.13982,0.91108,1.08013,0.86916,0.98617,1.11214,1.04224,1.09268,1.27427,1.01199,0.96710,1.07688,1.02255,0.84837,0.96988,0.91754,1.10751,1.05054,1.07422,0.93938
281,11.8199,0.3684,0.89305,1.34014,1.08302,0.90248,0.96698,0.86906,0.85713,0.95731,0.84948,0.96176,0.84370,1.21530,0.73442,1.10486,0.96511,1.24247,0.95823,1.15060,0.76652,0.83419,1.19792,0.93990,1.18328,0.96552,1.06590,0.86030,0.93119,1.10805,1.03771,1.10153,1.24501,0.92414,0.92621,1.00024,0.97799,0.91687,0.99345,0.92407,1.04169,0.98607,1.19765,0.97949
321,11.6871,0.4211,0.85303,1.25242,0.81772,0.84471,0.97272,0.86687,0.88502,0.96916,0.86074,0.94179,0.92025,1.31624,0.80289,1.01133,1.00103,1.15807,1.00568,1.19620,0.78516,0.81302,1.15540,1.02572,1.21144,1.04250,1.10268,0.84498,0.96106,1.20699,1.01710,1.06986,1.18751,0.85670,0.96499,1.02786,0.96535,0.96460,0.95652,0.82370,1.05354,1.04861,1.22676,1.01207
361,11.5265,0.4737,0.96134,1.23530,0.81749,0.87470,0.98320,0.93042,0.94985,0.90229,0.82770,0.96373,0.92821,1.23963,0.73484,0.97279,1.01950,1.26375,0.94418,1.17395,0.80991,0.86532,1.12047,1.07360,1.10699,1.06912,1.12433,0.90549,0.89079,1.14104,0.98380,1.06464,1.16912,0.97257,0.92382,1.00342,1.06250,0.92705,0.96458,0.92239,1.00560,1.03885,1.19139,0.94035
401,11.4854,0.5263,0.86513,1.12145,0.85685,0.86636,0.99290,0.94387,0.97245,0.90790,0.96423,0.91753,1.00744,1.22834,0.81979,0.97072,1.06780,1.20035,0.96714,1.29955,0.89878,0.90046,1.13569,1.04094,1.10134,1.09246,1.05888,0.86120,0.81431,1.12307,0.95839,1.00036,1.14555,0.88072,0.88380,1.02785,0.96511,0.97384,0.97120,0.88966,1.00386,1.11487,1.22213,0.96570
