gen,eff_rank,variation_scale,TARGET_X_TM5,TARGET_X_TM4,TARGET_X_TM3,TARGET_X_TM2,TARGET_X_TM1,TARGET_X_NOW,TARGET_Y_TM5,TARGET_Y_TM4,TARGET_Y_TM3,TARGET_Y_TM2,TARGET_Y_TM1,TARGET_Y_NOW,TARGET_Z_TM5,TARGET_Z_TM4,TARGET_Z_TM3,TARGET_Z_TM2,TARGET_Z_TM1,TARGET_Z_NOW,DIST_TM5,DIST_TM4,DIST_TM3,DIST_TM2,DIST_TM1,DIST_NOW,CLOSING_RATE,QUAT_W,QUAT_X,QUAT_Y,QUAT_Z,AIRSPEED,GYRO_P,GYRO_Q,GYRO_R,ACCEL_X,ACCEL_Y,ACCEL_Z,SPECIFIC_ENERGY,BOUNDARY_CLOSURE_RATE,DIST_TO_BOUNDARY,INWARD_BODY_X,INWARD_BODY_Y,INWARD_BODY_Z,SCORE_GRAD_X,SCORE_GRAD_Y,SCORE_GRAD_Z
1,11.0602,1.0000,0.91167,1.07594,0.95447,0.70036,0.96685,0.89155,0.97241,1.09254,0.95728,0.77448,0.93733,1.18039,1.05298,1.08402,0.92488,0.98204,1.01463,1.08940,0.95193,1.09379,0.87497,0.93599,0.89030,1.04638,0.94032,1.21382,1.19333,0.96838,1.04833,1.12762,0.86379,1.19730,1.09845,1.00978,0.93963,1.10888,0.90690,0.98253,0.81533,1.10035,1.04856,1.17084,1.13572,0.95243,0.82115
41,11.2265,1.0000,1.00968,1.04670,1.05868,0.72458,1.21069,1.02136,0.90485,0.78368,0.92968,1.31814,1.05701,1.03653,1.13323,0.84947,0.91639,1.09583,1.00817,0.80416,1.11065,0.98436,1.03523,0.93880,0.97126,0.97076,1.12861,1.11158,0.96763,0.88654,0.99372,0.96911,0.99328,1.14755,0.82642,0.93140,0.91478,1.15330,1.17604,0.90381,1.12011,0.95179,0.96369,1.02952,0.91079,1.04905,0.95137
81,11.3223,1.0000,0.81604,1.15945,1.04582,0.80510,0.94236,1.03135,0.84185,1.09254,0.91775,1.23305,1.13861,1.17567,0.99672,0.88112,1.15061,1.12440,1.13744,1.10864,1.10172,0.83221,1.11411,1.06563,1.10364,1.19846,0.95916,0.90658,0.82022,0.87894,1.16625,0.99601,1.01689,1.03040,1.02688,0.88346,0.90933,0.97868,1.02586,0.75585,0.90756,1.17258,1.01389,0.95995,0.94626,0.82679,0.80420
121,11.1372,1.0000,1.01551,1.19018,1.04014,1.01233,0.89724,0.86135,0.64664,1.04194,0.98686,0.99019,0.78355,1.09583,1.06533,0.88843,1.06780,1.06385,1.04501,0.84321,1.01597,0.93831,0.95044,1.04379,1.15222,1.13082,0.98312,1.05211,1.02874,1.15899,1.15155,1.15701,1.19707,0.81254,1.05697,0.86976,1.02439,0.93664,0.79074,1.06698,0.92499,1.21627,0.93327,1.06905,0.99034,0.85384,0.95869
161,11.5447,1.0000,0.99783,1.09478,0.81427,0.99782,1.03004,1.09080,0.97847,1.06259,1.05737,0.99274,0.69461,1.03389,1.12075,0.92954,1.11794,0.90483,1.05139,0.92543,1.09391,1.16611,1.03478,1.03963,0.96026,1.02897,1.05330,0.89281,0.76945,1.23764,1.04439,1.04464,1.19820,0.98939,0.98554,0.92456,0.87595,0.99078,0.61624,0.99941,0.86319,1.06871,1.11020,1.07620,1.05687,0.99008,0.99373
201,11.5504,1.0000,0.64849,0.99486,1.00008,0.95043,0.88729,1.16832,0.97074,0.99253,1.10513,1.10523,0.82403,1.05706,1.03736,0.90484,1.13738,0.95396,1.16419,0.93606,1.00980,1.04446,0.82419,1.00140,0.98254,1.12834,0.89144,1.02384,0.83092,1.06802,1.10572,0.90012,1.22526,0.95693,0.93660,0.89370,0.91648,0.95679,0.76823,0.97625,1.03184,1.15747,1.08911,1.28833,1.05674,0.99065,1.10687
241,11.3350,1.0000,0.72754,1.01396,1.12775,0.93301,0.86856,1.09190,1.09625,0.99368,1.03539,1.17860,1.03635,1.19161,1.08536,0.84825,0.98432,0.96799,1.13112,1.18604,0.81729,1.06928,0.83236,0.97755,0.99819,1.16347,1.04166,0.95977,0.75135,1.09047,1.14229,1.04405,0.97185,0.85573,0.99606,0.97069,0.88646,1.03423,0.84682,1.10951,0.81602,1.04404,1.14002,1.18308,1.04380,0.86353,0.85276
281,11.5130,1.0000,0.79185,1.14167,1.06063,0.86558,0.80364,0.97617,1.03467,1.15564,1.02108,1.13651,1.05145,1.05357,1.11065,0.82678,1.02342,1.02626,1.07409,1.11773,0.76768,1.12856,0.89031,1.07036,1.00852,1.08766,0.99591,0.99597,0.68619,1.04423,1.19642,1.04274,1.07723,0.84000,0.95467,0.96135,0.94329,0.97770,0.84112,1.15354,0.75219,1.09656,1.13793,1.24931,0.98330,0.95956,0.88629
321,11.5315,1.0000,0.68776,1.05446,1.23600,0.84788,0.83110,0.90628,0.98520,1.14292,0.86799,1.13489,1.08611,1.06687,1.10992,0.85952,1.05331,1.08407,1.01403,1.14677,0.87109,1.10874,0.92998,1.02778,0.95013,1.17675,0.97512,0.87161,0.64948,1.03354,1.17362,1.07531,1.00516,0.80511,0.99193,0.91990,0.97558,0.98482,0.88013,1.16584,0.86906,1.18289,1.21135,1.22335,0.96074,0.93524,0.93065
361,11.5315,1.0000,0.68776,1.05446,1.23600,0.84788,0.83110,0.90628,0.98520,1.14292,0.86799,1.13489,1.08611,1.06687,1.10992,0.85952,1.05331,1.08407,1.01403,1.14677,0.87109,1.10874,0.92998,1.02778,0.95013,1.17675,0.97512,0.87161,0.64948,1.03354,1.17362,1.07531,1.00516,0.80511,0.99193,0.91990,0.97558,0.98482,0.88013,1.16584,0.86906,1.18289,1.21135,1.22335,0.96074,0.93524,0.93065
