gen,eff_rank,variation_scale,TARGET_X_TM5,TARGET_X_TM4,TARGET_X_TM3,TARGET_X_TM2,TARGET_X_TM1,TARGET_X_NOW,TARGET_Y_TM5,TARGET_Y_TM4,TARGET_Y_TM3,TARGET_Y_TM2,TARGET_Y_TM1,TARGET_Y_NOW,TARGET_Z_TM5,TARGET_Z_TM4,TARGET_Z_TM3,TARGET_Z_TM2,TARGET_Z_TM1,TARGET_Z_NOW,DIST_TM5,DIST_TM4,DIST_TM3,DIST_TM2,DIST_TM1,DIST_NOW,CLOSING_RATE,QUAT_W,QUAT_X,QUAT_Y,QUAT_Z,AIRSPEED,GYRO_P,GYRO_Q,GYRO_R,ACCEL_X,ACCEL_Y,ACCEL_Z,SPECIFIC_ENERGY,BOUNDARY_CLOSURE_RATE,DIST_TO_BOUNDARY,INWARD_BODY_X,INWARD_BODY_Y,INWARD_BODY_Z,SCORE_GRAD_X,SCORE_GRAD_Y,SCORE_GRAD_Z
1,11.2206,1.0000,1.05702,0.78152,1.04369,0.94285,1.28343,0.87213,1.17498,0.84066,0.98927,0.91506,1.00816,1.09149,1.12690,1.03814,1.03524,1.09425,1.00580,0.99558,1.18656,1.29182,1.03317,0.79344,1.02248,0.79114,1.09249,1.16314,0.94581,0.99024,0.92474,0.96533,0.96281,0.99594,0.80897,0.82387,0.91866,0.98167,0.94819,1.28273,0.99456,1.04297,0.82817,0.99742,0.95726,0.90392,1.05632
41,10.8267,1.0000,0.87333,1.23199,1.08553,0.92677,0.80720,1.13699,1.01901,0.95134,1.30315,1.06428,1.11090,1.07048,0.99877,0.81208,1.20466,0.77950,1.17158,1.06845,0.92839,1.13170,0.89611,1.14819,1.14734,0.95344,0.94625,0.80940,1.05265,0.86399,1.14597,0.91731,1.13883,0.98698,0.95749,1.09573,1.06869,0.98635,0.84883,0.85890,0.84067,1.05425,0.90174,0.85672,1.04222,1.05526,0.75061
81,11.6780,1.0000,1.01483,1.04337,1.04947,0.80087,0.93779,1.11043,1.04804,0.94992,0.97478,1.10841,1.23723,1.07821,1.15976,0.84473,0.98296,0.77172,1.01944,0.79429,0.87049,1.17579,1.22240,0.91817,0.97442,0.82331,1.00896,0.86237,0.90176,1.08897,1.26966,1.02994,1.31317,1.00053,0.96193,0.95526,1.12955,0.99658,1.01689,0.81211,1.05722,0.86723,1.03994,0.87567,1.00582,1.12119,0.77441
121,11.4085,1.0000,1.14386,0.91862,0.83088,1.03035,0.85188,0.91562,1.06073,0.98538,1.10909,1.15813,1.21253,1.16956,1.07817,0.80812,0.93743,0.97698,1.22770,0.84419,0.69670,1.09531,0.97035,0.93672,1.09505,0.89996,0.93017,0.76578,1.00012,0.98861,1.05213,0.85810,1.19560,1.00557,1.08166,1.07301,0.85798,1.08928,0.84372,1.06437,0.97274,0.88427,1.15146,1.10129,0.95507,1.06185,1.11391
161,11.5510,1.0000,1.06304,0.78411,0.94949,0.85688,1.09717,0.83197,1.04900,1.12268,1.02504,1.10644,0.86899,1.22627,1.12604,0.89338,0.80058,1.02372,1.26866,0.90858,0.77392,1.14388,0.99280,1.13232,1.14818,0.98964,0.96901,0.75470,1.10973,1.14965,1.19835,0.94711,1.11999,0.93551,0.96310,1.05051,0.95454,0.99935,0.63773,1.21692,0.86654,0.83768,1.14408,1.11137,0.97961,1.00786,0.86387
201,11.5442,1.0000,0.96515,0.87197,0.96266,1.06021,1.09637,0.84380,1.00796,0.99466,0.95075,1.09675,0.90603,1.27861,1.04645,0.80242,0.87442,1.04732,1.20494,0.93568,0.82074,1.22442,0.90388,0.99026,1.16057,1.13548,0.93967,0.82588,1.04504,0.99635,1.08314,1.07405,1.10871,0.92203,1.09059,1.03444,0.90252,1.02476,0.69584,1.06625,1.14537,0.94474,1.04362,1.04423,0.99314,0.95979,0.87835
241,11.0480,1.0000,1.02474,1.05350,0.97796,0.91145,1.13593,0.90739,0.99103,0.97569,0.97850,1.09503,0.86996,1.21190,1.02657,0.82957,0.78374,0.90097,1.26089,1.17218,0.93129,1.16610,0.89678,1.12380,1.22287,1.05390,0.82969,0.89260,1.04097,0.88752,1.05505,1.10574,0.98809,0.95233,1.01347,0.97850,0.79753,0.99017,0.79342,1.09138,1.06659,1.02057,1.13307,1.03457,0.86680,1.00733,0.95287
281,11.3108,1.0000,1.06841,1.05109,1.00388,0.98147,1.08777,0.89956,0.95692,1.05266,0.92741,1.13610,0.91661,1.23588,0.96223,0.80735,0.81179,0.98329,1.32152,1.17979,0.88375,1.16709,0.92640,1.07583,1.21664,1.04514,0.78263,0.87988,1.07849,0.90770,1.10105,1.06716,1.01302,0.95751,1.00707,1.06782,0.76272,0.94217,0.74852,1.01846,1.07031,1.01979,1.13881,1.03192,0.86146,0.97106,0.87387
321,11.2054,1.0000,1.00901,1.02971,1.00362,0.99501,1.12478,0.98542,1.09797,1.07148,0.99963,1.09762,0.92786,1.14237,1.03774,0.67020,0.74506,1.01613,1.25079,1.22082,0.93113,1.14200,0.90642,1.00821,1.20972,1.07451,0.91473,0.95710,1.02323,0.94774,0.95275,1.06672,1.06514,0.96678,0.99236,0.94586,0.72707,0.96996,0.77892,1.04485,1.01498,0.98840,1.07782,1.04174,0.83402,1.00575,0.98687
361,10.9040,1.0000,0.95791,0.91255,0.92184,1.00635,1.02999,1.14387,1.10977,1.03383,0.95774,1.01242,0.89581,1.18301,1.00614,0.74606,0.82774,0.94123,1.24800,1.17238,1.00386,1.13665,0.99858,0.93112,1.30591,1.13274,0.88206,0.98068,1.07945,0.97298,0.90862,1.08083,1.11431,1.01412,1.04690,0.84529,0.79139,0.91497,0.82213,1.01987,1.05180,0.91818,1.00538,1.05635,0.76642,1.10536,1.00740
