burst,t_s,rate_deg_s,smear_px_per_word,q_33chip,q_5chip,long_over_short,tracker_ticks,tracker_ticks_with_track
1,0.0,0.0,0.0,6245,3756,1.66,6,0
2,1.7,46.9,39.8,6187,4808,1.29,7,0
3,3.5,0.0,0.0,6493,3658,1.78,7,3
4,5.2,0.0,0.0,6792,3816,1.78,7,3
5,6.9,0.0,0.0,6644,3676,1.81,7,0
6,8.7,0.0,0.0,6454,3264,1.98,7,3
7,10.4,0.2,0.2,5157,3472,1.49,7,0
8,12.2,50.1,42.5,556,1073,0.52,7,3
9,13.9,13.9,11.8,216,406,0.53,7,0
10,15.6,1.0,0.9,1557,1175,1.32,7,0
11,17.4,65.5,55.6,219,306,0.72,7,0
12,19.1,14.9,12.7,265,372,0.71,7,0
13,20.8,11.8,10.0,255,410,0.62,7,0
14,22.6,14.5,12.3,334,364,0.92,7,0
15,24.3,24.1,20.5,254,365,0.69,7,0
16,26.1,129.5,109.9,245,378,0.65,7,0
17,27.8,23.7,20.2,147,372,0.39,7,0
18,29.5,73.2,62.1,280,412,0.68,7,0
19,31.3,14.7,12.4,183,410,0.45,7,0
20,33.0,13.3,11.3,6571,10927,0.60,7,0
21,34.7,46.2,39.2,391,1102,0.35,7,0
22,36.5,35.1,29.8,463,1451,0.32,7,0
23,38.2,3.3,2.8,2085,4592,0.45,7,0
24,39.9,95.0,80.6,453,899,0.50,7,0
25,41.7,32.7,27.8,2918,13533,0.22,7,0
26,43.4,7.4,6.3,1375,2461,0.56,7,0
27,45.2,0.0,0.0,3866,2087,1.85,7,0
28,46.9,0.0,0.0,3729,1982,1.88,7,0
29,48.6,0.0,0.0,3918,2036,1.92,7,3
30,50.4,0.0,0.0,4327,2117,2.04,7,3
31,52.1,0.0,0.0,4034,2925,1.38,7,0
32,53.8,0.0,0.0,5037,2524,2.00,7,0
33,55.6,21.2,18.0,3962,2589,1.53,7,0
34,57.3,0.0,0.0,5120,2734,1.87,7,0
35,59.0,0.0,0.0,4286,2791,1.54,7,0
