i,t_us,n_markers,emitter_x_native,emitter_y_native,emitter_x_m2,emitter_y_m2,deg_per_s,degraded
2,11921809387,4,311.00,228.00,-4.50,14.00,,0
4,11921816334,4,311.00,228.00,-4.50,14.00,0.0,0
6,11921823281,4,311.14,227.86,-4.43,13.93,4.3,0
8,11921830228,4,311.10,228.03,-4.45,14.02,3.9,0
10,11921837176,4,311.09,227.95,-4.46,13.97,1.8,0
12,11921844123,4,311.00,228.00,-4.50,14.00,2.3,0
14,11921851071,4,311.09,227.95,-4.46,13.97,2.3,0
16,11921858018,4,311.00,228.00,-4.50,14.00,2.3,0
18,11921864965,4,311.00,228.00,-4.50,14.00,0.0,0
20,11921871912,4,311.14,227.86,-4.43,13.93,4.3,0
22,11921878863,4,311.09,227.95,-4.46,13.97,2.2,0
24,11921885807,4,311.09,227.95,-4.46,13.97,0.0,0
26,11921892754,4,311.09,227.95,-4.46,13.97,0.0,0
28,11921899701,4,311.09,227.95,-4.46,13.97,0.0,0
30,11921906649,4,311.14,227.86,-4.43,13.93,2.2,0
32,11921913596,4,311.10,228.03,-4.45,14.02,3.9,0
34,11921920544,4,311.09,227.95,-4.46,13.97,1.8,0
36,11921927492,4,311.09,227.95,-4.46,13.97,0.0,0
38,11921934438,4,311.09,227.95,-4.46,13.97,0.0,0
40,11921941386,4,311.00,228.00,-4.50,14.00,2.3,0
42,11921948332,4,311.00,228.00,-4.50,14.00,0.0,0
44,11921955281,4,311.14,227.86,-4.43,13.93,4.3,0
46,11921962227,4,311.09,227.95,-4.46,13.97,2.2,0
48,11921969174,4,311.09,227.95,-4.46,13.97,0.0,0
50,11921976121,4,311.09,227.95,-4.46,13.97,0.0,0
52,11921983070,4,311.09,227.95,-4.46,13.97,0.0,0
54,11921990016,4,311.09,227.95,-4.46,13.97,0.0,0
56,11921996963,4,311.09,227.95,-4.46,13.97,0.0,0
58,11922003911,4,311.09,227.95,-4.46,13.97,0.0,0
60,11922010858,4,311.09,227.95,-4.46,13.97,0.0,0
62,11922017805,4,311.09,227.95,-4.46,13.97,0.0,0
64,11922024752,4,311.09,227.95,-4.46,13.97,0.0,0
66,11922031699,4,311.14,227.86,-4.43,13.93,2.2,0
68,11922038648,4,311.09,227.95,-4.46,13.97,2.2,0
70,11922045594,4,311.09,227.95,-4.46,13.97,0.0,0
72,11922052541,4,311.09,227.95,-4.46,13.97,0.0,0
74,11922059488,4,311.09,227.95,-4.46,13.97,0.0,0
76,11922066435,4,311.09,227.95,-4.46,13.97,0.0,0
78,11922073383,4,311.09,227.95,-4.46,13.97,0.0,0
80,11922080330,4,311.06,227.98,-4.47,13.99,0.9,0
82,11922087277,4,311.09,227.95,-4.46,13.97,0.9,0
84,11922094225,4,311.09,227.95,-4.46,13.97,0.0,0
86,11922101171,4,311.00,228.00,-4.50,14.00,2.3,0
88,11922108119,4,311.09,227.95,-4.46,13.97,2.3,0
90,11922115066,4,311.09,227.95,-4.46,13.97,0.0,0
92,11922122014,4,311.10,228.03,-4.45,14.02,1.8,0
94,11922128960,4,311.14,227.86,-4.43,13.93,3.9,0
96,11922135909,4,311.00,228.00,-4.50,14.00,4.3,0
98,11922142855,4,311.00,228.00,-4.50,14.00,0.0,0
100,11922149802,3,311.11,227.92,-4.44,13.96,3.0,0
102,11922156758,4,311.00,228.00,-4.50,14.00,3.0,0
104,11922163697,4,311.09,227.95,-4.46,13.97,2.3,0
106,11922170644,4,311.09,227.95,-4.46,13.97,0.0,0
108,11922177591,4,311.00,228.00,-4.50,14.00,2.3,0
110,11922184538,4,311.09,227.95,-4.46,13.97,2.3,0
112,11922191487,4,311.00,228.00,-4.50,14.00,2.3,0
114,11922198433,4,311.00,228.00,-4.50,14.00,0.0,0
116,11922205380,4,311.09,227.95,-4.46,13.97,2.3,0
118,11922212329,4,311.00,228.00,-4.50,14.00,2.3,0
120,11922219275,4,311.00,228.00,-4.50,14.00,0.0,0
122,11922226222,4,311.00,228.00,-4.50,14.00,0.0,0
124,11922233169,3,311.00,228.00,-4.50,14.00,0.0,0
126,11922240116,4,311.05,227.91,-4.48,13.95,2.2,0
128,11922247065,4,311.09,227.95,-4.46,13.97,1.3,0
130,11922254011,4,311.09,227.95,-4.46,13.97,0.0,0
132,11922260960,4,311.00,228.00,-4.50,14.00,2.3,0
134,11922267905,4,311.00,228.00,-4.50,14.00,0.0,0
136,11922274853,4,311.00,228.00,-4.50,14.00,0.0,0
138,11922281800,4,311.09,227.95,-4.46,13.97,2.3,0
140,11922288748,4,311.09,227.95,-4.46,13.97,0.0,0
142,11922295695,4,311.00,228.00,-4.50,14.00,2.3,0
144,11922302642,4,311.00,228.00,-4.50,14.00,0.0,0
146,11922309590,4,311.00,228.00,-4.50,14.00,0.0,0
148,11922316536,4,311.00,228.00,-4.50,14.00,0.0,0
150,11922323484,4,311.05,227.91,-4.48,13.95,2.2,0
152,11922330431,4,311.14,227.86,-4.43,13.93,2.3,0
154,11922337378,4,311.00,228.00,-4.50,14.00,4.3,0
156,11922344325,4,311.00,228.00,-4.50,14.00,0.0,0
