t_s,cell,phase,throttle,elevator_trim,axis,amplitude,cmd_aileron,cmd_elevator,cmd_throttle,elev_trimmed,rate_p,rate_q,rate_r,phi,theta,psi,vel_x,vel_y,vel_z,v_rel_airmass,pos_x,pos_y,pos_z,flight_cl
0.000000,0,trim,0.450000,0.000000,1,0.350000,0.000000,0.000000,0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,3.141593,-42.811653,0.000000,0.000000,32.960483,-0.107746,0.000000,-900.025024,0.180000
0.005000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.000009,0.450000,-0.000009,-0.017507,0.124613,0.023215,-0.000044,0.000312,3.141651,-42.748407,0.008636,0.171644,32.937711,-0.323078,0.000022,-900.024595,0.184492
0.010000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.000022,0.450000,-0.000022,-0.028706,0.142294,0.038634,-0.000159,0.000979,3.141805,-42.706397,0.014368,0.273420,32.892437,-0.538146,0.000079,-900.023483,0.217397
0.015000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.000041,0.450000,-0.000041,-0.039832,0.159288,0.054029,-0.000330,0.001733,3.142037,-42.664513,0.020108,0.373605,32.783024,-0.753002,0.000165,-900.021865,0.233093
0.020000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.000064,0.450000,-0.000064,-0.050509,0.159985,0.069250,-0.000555,0.002531,3.142345,-42.622982,0.025803,0.468737,32.742012,-0.967648,0.000280,-900.019759,0.252801
0.025000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.000092,0.450000,-0.000092,-0.060949,0.151339,0.084261,-0.000833,0.003310,3.142728,-42.581521,0.031454,0.559972,32.734297,-1.182086,0.000423,-900.017187,0.269486
0.030000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.000125,0.450000,-0.000125,-0.071171,0.133501,0.099394,-0.001162,0.004022,3.143186,-42.540164,0.037183,0.645857,32.699232,-1.396315,0.000595,-900.014173,0.289045
0.035000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.000161,0.450000,-0.000161,-0.081299,0.110247,0.114389,-0.001540,0.004632,3.143720,-42.498979,0.042912,0.728400,32.672092,-1.610337,0.000795,-900.010737,0.304788
0.040000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.000201,0.450000,-0.000201,-0.091003,0.081750,0.129306,-0.001968,0.005113,3.144328,-42.457988,0.048663,0.806400,32.607275,-1.824151,0.001024,-900.006900,0.322117
0.045000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.000246,0.450000,-0.000246,-0.086433,0.052316,0.144171,-0.002408,0.005450,3.145011,-42.381992,0.054533,0.883650,32.513615,-2.037671,0.001282,-900.002675,0.331504
