t_s,cell,phase,throttle,elevator_trim,axis,amplitude,cmd_aileron,cmd_elevator,cmd_throttle,elev_trimmed,rate_p,rate_q,rate_r,phi,theta,psi,vel_x,vel_y,vel_z,v_rel_airmass,pos_x,pos_y,pos_z,flight_cl
0.000000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000000,0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,3.141593,-42.811653,0.000000,0.000000,32.952932,-0.107750,0.000000,-180.445999,0.180000
0.005000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000008,0.450000,0.000008,-0.016939,0.125266,0.023838,-0.000042,0.000313,3.141652,-42.747147,0.008837,0.168018,32.962048,-0.323086,0.000022,-180.445579,0.190037
0.010000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000022,0.450000,0.000022,-0.028374,0.142055,0.039741,-0.000156,0.000981,3.141811,-42.704207,0.014743,0.266971,32.912855,-0.538152,0.000081,-180.444492,0.222939
0.015000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000040,0.450000,0.000040,-0.040133,0.159871,0.055645,-0.000326,0.001736,3.142049,-42.661381,0.020678,0.366164,32.746935,-0.753003,0.000170,-180.442909,0.234201
0.020000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000063,0.450000,0.000063,-0.051233,0.159733,0.071300,-0.000554,0.002536,3.142366,-42.619101,0.026537,0.459715,32.704584,-0.967639,0.000288,-180.440844,0.254462
0.025000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000091,0.450000,0.000091,-0.062379,0.151126,0.086631,-0.000837,0.003313,3.142761,-42.576812,0.032324,0.549910,32.722970,-1.182062,0.000435,-180.438320,0.269401
0.030000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000122,0.450000,0.000122,-0.073517,0.131713,0.102259,-0.001175,0.004021,3.143232,-42.534599,0.038258,0.633026,32.691137,-1.396273,0.000611,-180.435363,0.292212
0.035000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000158,0.450000,0.000158,-0.085198,0.107585,0.117693,-0.001570,0.004620,3.143781,-42.492550,0.044196,0.713184,32.673718,-1.610272,0.000817,-180.431997,0.307952
0.040000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000197,0.450000,0.000197,-0.096274,0.076924,0.133060,-0.002020,0.005082,3.144407,-42.450737,0.050162,0.787264,32.587055,-1.824059,0.001053,-180.428246,0.328770
0.045000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000240,0.450000,0.000240,-0.092323,0.047861,0.148425,-0.002488,0.005395,3.145110,-42.374006,0.056241,0.863187,32.475543,-2.037548,0.001319,-180.424120,0.333267
0.050000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000288,0.450000,0.000288,-0.098406,0.021524,0.163524,-0.002961,0.005571,3.145890,-42.309557,0.062280,0.942703,32.428423,-2.250682,0.001616,-180.419605,0.326944
0.055000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000338,0.450000,0.000338,-0.104045,-0.008693,0.178574,-0.003462,0.005606,3.146745,-42.245526,0.068390,1.017913,32.376591,-2.463493,0.001942,-180.414704,0.336090
0.060000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000393,0.450000,0.000393,-0.110044,-0.039506,0.193644,-0.003992,0.005489,3.147676,-42.182068,0.074606,1.090532,32.322006,-2.675982,0.002300,-180.409433,0.346697
0.065000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000451,0.450000,0.000451,-0.116409,-0.069838,0.208493,-0.004553,0.005220,3.148682,-42.119162,0.080855,1.161454,32.332944,-2.888154,0.002688,-180.403803,0.355176
0.070000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000512,0.450000,0.000512,-0.122682,-0.106482,0.223334,-0.005145,0.004784,3.149764,-42.056975,0.087247,1.222229,32.275103,-3.100011,0.003109,-180.397843,0.383524
0.075000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000576,0.450000,0.000576,-0.128306,-0.136210,0.237798,-0.005767,0.004184,3.150920,-41.995383,0.093582,1.285783,32.184266,-3.311556,0.003561,-180.391573,0.386626
0.080000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000644,0.450000,0.000644,-0.134900,-0.162239,0.252050,-0.006421,0.003445,3.152149,-41.934484,0.099978,1.351734,32.115295,-3.522793,0.004045,-180.384980,0.382901
0.085000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000715,0.450000,0.000715,-0.140477,-0.183906,0.266241,-0.007105,0.002589,3.153451,-41.874193,0.106423,1.420595,32.033196,-3.733725,0.004561,-180.378049,0.374795
0.090000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000789,0.450000,0.000789,-0.146756,-0.207678,0.280023,-0.007820,0.001620,3.154824,-41.814964,0.112897,1.485548,32.016842,-3.944356,0.005109,-180.370783,0.383111
0.095000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000866,0.450000,0.000866,-0.152141,-0.236487,0.293924,-0.008566,0.000521,3.156268,-41.756949,0.119587,1.541299,31.977019,-4.154692,0.005690,-180.363216,0.409841
0.100000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.000946,0.450000,0.000946,-0.157527,-0.257126,0.307809,-0.009341,-0.000699,3.157783,-41.699600,0.126379,1.601676,31.963208,-4.364738,0.006305,-180.355359,0.407373
0.105000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.001030,0.450000,0.001030,-0.162651,-0.275915,0.321400,-0.010143,-0.002017,3.159369,-41.643022,0.133203,1.662155,31.942203,-4.574497,0.006954,-180.347199,0.405685
0.110000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.001116,0.450000,0.001116,-0.167877,-0.293098,0.334824,-0.010974,-0.003422,3.161024,-41.587442,0.140126,1.722045,31.921712,-4.783973,0.007637,-180.338739,0.406734
0.115000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.001205,0.450000,0.001205,-0.172236,-0.307706,0.348040,-0.011831,-0.004904,3.162749,-41.532861,0.147091,1.782469,31.874887,-4.993173,0.008355,-180.329977,0.405537
0.120000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.001297,0.450000,0.001297,-0.178024,-0.321957,0.360907,-0.012717,-0.006456,3.164540,-41.479553,0.154146,1.841641,31.872137,-5.202101,0.009108,-180.320917,0.408933
0.125000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.001392,0.450000,0.001392,-0.183073,-0.333948,0.373772,-0.013633,-0.008072,3.166398,-41.427308,0.161329,1.901080,31.915990,-5.410763,0.009897,-180.311560,0.408870
0.130000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.001490,0.450000,0.001490,-0.187317,-0.349205,0.386568,-0.014577,-0.009753,3.168323,-41.376493,0.168694,1.954583,31.860647,-5.619166,0.010722,-180.301921,0.423043
0.135000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.001590,0.450000,0.001590,-0.191176,-0.364416,0.399167,-0.015544,-0.011507,3.170314,-41.327586,0.176159,2.005596,31.853448,-5.827318,0.011584,-180.292021,0.435849
0.140000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.001693,0.450000,0.001693,-0.194891,-0.375511,0.411913,-0.016535,-0.013324,3.172372,-41.279893,0.183804,2.058701,31.839488,-6.035226,0.012484,-180.281860,0.434424
0.145000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.001798,0.450000,0.001798,-0.197250,-0.388004,0.424642,-0.017545,-0.015197,3.174495,-41.234052,0.191589,2.108944,31.818305,-6.242900,0.013423,-180.271441,0.441675
0.150000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.001906,0.450000,0.001906,-0.199985,-0.398406,0.437188,-0.018574,-0.017124,3.176685,-41.189887,0.199474,2.159159,31.781026,-6.450346,0.014400,-180.260771,0.444291
0.155000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.002017,0.450000,0.002017,-0.203032,-0.399259,0.449365,-0.019622,-0.019075,3.178940,-41.146653,0.207231,2.218786,31.748306,-6.657573,0.015417,-180.249826,0.420384
